,size,total_sqft,bath,price,location,bhk,price_per_sqft
0,2 BHK,1056.0,2.0,39.07,Alandi Road,2,36.99810606060606
1,4 Bedroom,2894.0,4.0,245.0,Alandi Road,4,84.65791292328956
2,2 BHK,1084.0,2.0,50.0,Alandi Road,2,46.125461254612546
3,2 BHK,1230.0,2.0,80.0,Alandi Road,2,65.04065040650407
4,3 BHK,1750.0,3.0,130.0,Alandi Road,3,74.28571428571429
5,2 BHK,995.0,2.0,41.0,Alandi Road,2,41.20603015075377
8,2 BHK,1360.0,2.0,95.0,Alandi Road,2,69.8529411764706
9,2 BHK,1040.0,2.0,50.0,Alandi Road,2,48.07692307692308
10,3 BHK,1655.0,3.0,86.06,Alandi Road,3,52.0
12,4 BHK,2790.0,5.0,198.0,Alandi Road,4,70.96774193548387
13,2 BHK,1028.0,2.0,42.0,Alandi Road,2,40.856031128404666
14,2 BHK,1300.0,2.0,57.0,Alandi Road,2,43.84615384615385
15,3 BHK,1564.0,3.0,101.0,Alandi Road,3,64.57800511508951
16,2 BHK,1012.0,2.0,59.0,Alandi Road,2,58.30039525691699
17,4 BHK,2519.0,5.0,185.0,Alandi Road,4,73.44184200079397
18,2 BHK,1520.0,2.0,62.0,Alandi Road,2,40.78947368421053
19,3 BHK,1550.0,3.0,78.0,Alandi Road,3,50.32258064516129
20,2 BHK,950.0,2.0,46.5,Alandi Road,2,48.94736842105263
21,2 BHK,1280.0,2.0,56.0,Alandi Road,2,43.75
22,2 BHK,1350.0,2.0,79.0,Alandi Road,2,58.51851851851852
23,3 Bedroom,1500.0,2.0,85.0,Alandi Road,3,56.666666666666664
24,4 BHK,3250.0,4.0,230.0,Alandi Road,4,70.76923076923077
25,3 BHK,1150.0,2.0,77.5,Alandi Road,3,67.3913043478261
26,3 BHK,1080.0,2.0,75.0,Alandi Road,3,69.44444444444444
27,3 BHK,1743.0,3.0,93.25,Alandi Road,3,53.49971313826735
28,2 BHK,984.0,2.0,45.91,Alandi Road,2,46.65650406504065
29,9 Bedroom,4500.0,9.0,166.0,Alandi Road,9,36.888888888888886
30,2 BHK,1225.0,2.0,55.0,Alandi Road,2,44.89795918367347
31,2 BHK,1100.0,2.0,50.0,Alandi Road,2,45.45454545454545
32,2 BHK,1210.0,2.0,75.0,Alandi Road,2,61.98347107438016
33,2 BHK,1250.0,2.0,72.0,Alandi Road,2,57.6
34,2 BHK,900.0,2.0,42.0,Alandi Road,2,46.666666666666664
35,2 BHK,1075.0,2.0,52.43,Alandi Road,2,48.77209302325581
36,2 BHK,1265.0,2.0,82.0,Alandi Road,2,64.82213438735178
37,2 BHK,900.0,2.0,41.0,Alandi Road,2,45.55555555555556
39,2 BHK,1100.0,2.0,48.0,Alandi Road,2,43.63636363636363
40,3 BHK,1850.0,3.0,90.0,Alandi Road,3,48.648648648648646
42,3 BHK,1475.0,2.0,74.0,Alandi Road,3,50.16949152542373
43,3 BHK,1265.0,2.0,65.0,Alandi Road,3,51.383399209486164
44,2 BHK,1300.0,2.0,98.0,Alandi Road,2,75.38461538461539
45,2 BHK,937.0,2.0,35.0,Alandi Road,2,37.353255069370334
46,2 BHK,1000.0,2.0,58.0,Alandi Road,2,58.0
47,2 BHK,700.0,2.0,43.0,Alandi Road,2,61.42857142857143
48,2 BHK,1265.0,2.0,46.6,Alandi Road,2,36.83794466403162
49,2 BHK,1008.0,2.0,32.25,Alandi Road,2,31.99404761904762
50,3 BHK,2072.0,4.0,155.0,Alandi Road,3,74.8069498069498
52,4 Bedroom,7000.0,4.0,550.0,Alandi Road,4,78.57142857142857
53,2 BHK,1102.0,2.0,52.0,Alandi Road,2,47.186932849364794
54,2 BHK,1020.0,2.0,46.5,Alandi Road,2,45.588235294117645
55,3 BHK,1855.0,3.0,145.0,Alandi Road,3,78.16711590296497
56,2 BHK,1181.0,2.0,75.0,Alandi Road,2,63.505503810330225
58,2 BHK,1130.0,2.0,45.2,Alandi Road,2,40.0
59,2 BHK,1065.0,2.0,55.0,Alandi Road,2,51.64319248826291
60,3 BHK,1540.0,3.0,85.0,Alandi Road,3,55.1948051948052
61,2 BHK,1246.0,2.0,67.4,Alandi Road,2,54.09309791332263
62,1 BHK,500.0,1.0,30.0,Alandi Road,1,60.0
63,2 BHK,1080.0,2.0,45.0,Alandi Road,2,41.666666666666664
64,3 BHK,1756.0,3.0,128.0,Alandi Road,3,72.89293849658314
65,2 BHK,914.0,2.0,32.0,Alandi Road,2,35.010940919037196
